iteration,loss,mean_rel_error
1,29.847850799560547,1.00127020175414
100,4.776636600494385,1.0108362899705035
200,4.623412609100342,1.0169715402343542
300,3.8418407440185547,1.0112883747231505
400,2.456533432006836,0.9661928745192481
500,1.6042940616607666,0.9390482662009751
600,1.3190956115722656,0.9341842962796629
700,1.2105178833007812,0.9262738119548122
800,1.1050589084625244,0.9183380144613682
900,1.0507392883300781,0.9092514650462877
1000,1.2653940916061401,0.8984141651939084
1100,0.9560365676879883,0.8910150513644504
1200,0.9127575159072876,0.8817729144221352
1300,0.8775600790977478,0.8743588766908479
1400,0.8160574436187744,0.8650685889738166
1500,0.8063948154449463,0.8566705713651793
1600,0.7297224402427673,0.8493281990250086
1700,0.6978250741958618,0.8435002004123763
1800,0.6694525480270386,0.8377921574038096
1900,0.6447845697402954,0.8331772489749032
2000,0.6228549480438232,0.8289557770892764
2100,0.5983595848083496,0.8248927830966639
2200,0.5824141502380371,0.8212011873891473
2300,0.5603628754615784,0.8166821668960026
2400,0.5374590158462524,0.8124887963354056
2500,0.5170952677726746,0.8079645008152007
2600,0.5017843246459961,0.8034950457068941
2700,0.4862610697746277,0.798763946707321
2800,0.47634121775627136,0.7946433824770871
2900,0.45497703552246094,0.7896443690718193
3000,0.4410657584667206,0.7843070944459978
3100,0.4274214804172516,0.7790729923150654
3200,0.41407981514930725,0.7735787838959178
3300,0.4214138984680176,0.7674262630814132
3400,0.3881271481513977,0.7616377143741127
3500,0.39680594205856323,0.755617953397727
3600,0.38746216893196106,0.74939161845974
3700,0.3565785884857178,0.7428620134429871
3800,0.461576908826828,0.7374870632200939
3900,0.37981462478637695,0.7310256575962476
4000,0.32260119915008545,0.7235130197496646
4100,0.31396371126174927,0.7176107811586601
4200,0.3165866434574127,0.7110536570452252
4300,0.2978112995624542,0.7047376630892648
4400,0.2912520468235016,0.698920907864236
4500,0.2874847948551178,0.6928099291391059
4600,0.6987906694412231,0.6878811282343378
4700,0.2709960639476776,0.6811981396987152
4800,0.26327306032180786,0.6753331065362931
4900,0.25712156295776367,0.6701044425349441
5000,0.2528539001941681,0.6646266101847227
5100,0.18253988027572632,0.5754752259378499
5200,0.13967017829418182,0.4951439418485707
5300,0.10921058803796768,0.4328071167732078
5400,0.08877570927143097,0.38623796065793503
5500,0.07087323814630508,0.3281650167497474
5600,0.05798174813389778,0.2679884266505448
5700,0.04619094729423523,0.20797877985569935
5800,0.03637254610657692,0.18428919489578743
5900,0.02847103215754032,0.15837557099906377
6000,0.02263500541448593,0.1410165414952973
6100,0.018518665805459023,0.12900573663299342
6200,0.015542155131697655,0.12136602967147203
6300,0.013155641965568066,0.11259561980614495
6400,0.011338910087943077,0.09796656321656169
6500,0.009602952748537064,0.09033447022602656
6600,0.008132262155413628,0.08649246402246497
6700,0.007161244750022888,0.08727765653693245
6800,0.006383928004652262,0.08491226348553235
6900,0.005743424873799086,0.08363627695835701
7000,0.005205814726650715,0.0826226147587528
7100,0.004679981619119644,0.07979740310227945
7200,0.004259584471583366,0.07925508326390063
7300,0.003901432268321514,0.07907787091570118
7400,0.003597947070375085,0.07947449178712938
7500,0.0033034454099833965,0.07832351721456124
7600,0.00305349612608552,0.07739714540576752
7700,0.002856754930689931,0.07579389975877371
7800,0.0026905196718871593,0.07533017818469304
7900,0.0025442568585276604,0.07512958967837333
8000,0.0023798737674951553,0.07481222197778892
8100,0.002237484557554126,0.07557532199924887
8200,0.00210523116402328,0.07505264341360215
8300,0.0019669109024107456,0.07549763363275089
8400,0.0018571391701698303,0.07549241386359434
8500,0.0017598510021343827,0.074570026267071
8600,0.0016595304477959871,0.07399574860911787
8700,0.0015686583938077092,0.07410575093829727
8800,0.001484759384766221,0.07472254490953403
8900,0.001411359990015626,0.07520540336058841
9000,0.0013548006536439061,0.07550320971797593
9100,0.001298445276916027,0.07579594915237231
9200,0.0012426971225067973,0.07562689323315766
9300,0.0011847683927044272,0.07550973871797702
9400,0.0011304296785965562,0.07527878447067132
9500,0.0010813800618052483,0.07527103864767867
9600,0.0010435122530907393,0.07532261653958014
9700,0.0010081168729811907,0.07473169655549183
9800,0.0009716026834212244,0.07454505299535713
9900,0.0009334014030173421,0.07504703291605135
10000,0.0008985737804323435,0.07491477445278283
