iteration,loss,mean_rel_error
1,29.858131408691406,1.373635851677746
100,4.68991756439209,1.002689404850361
200,4.613361835479736,1.0063103893715597
300,4.5883636474609375,1.0084374136610799
400,4.5654616355896,1.009998046388544
500,4.5378289222717285,1.011571829780695
600,1.3379969596862793,0.945179326519198
700,0.8817561864852905,0.8648596544081222
800,0.6112098693847656,0.8177978464054192
900,0.4716745615005493,0.7661145422090694
1000,0.3705274164676666,0.7035298968515599
1100,0.30083969235420227,0.6655583057093502
1200,0.2333543598651886,0.5959808662664676
1300,0.18805629014968872,0.5725437386266111
1400,0.16033099591732025,0.5403278737255114
1500,0.13922779262065887,0.49219918645128596
1600,0.12007825076580048,0.4620610264230852
1700,0.10279730707406998,0.42522459695992576
1800,0.0855218917131424,0.3691170613264663
1900,0.07112593948841095,0.318026140940208
2000,0.06058255583047867,0.2816380000911165
2100,0.051255784928798676,0.24900480653428786
2200,0.044073380529880524,0.22540799621594942
2300,0.03746630996465683,0.21328647254035463
2400,0.032167453318834305,0.19141813083036208
2500,0.027960168197751045,0.17681956253396447
2600,0.023549141362309456,0.14798135445426103
2700,0.019251834601163864,0.12323848053140248
2800,0.01612851396203041,0.10532195270391446
2900,0.013789740391075611,0.09607080124739803
3000,0.011698439717292786,0.08766429442787486
3100,0.010062438435852528,0.08556318955753792
3200,0.00902628619223833,0.08400539760567582
3300,0.008080278523266315,0.08416296301315351
3400,0.007267378736287355,0.08233897168570994
3500,0.006573536433279514,0.07762866063302613
3600,0.0059556677006185055,0.07741132251740782
3700,0.005426721181720495,0.07763023817551687
3800,0.004906278569251299,0.07820142443702115
3900,0.004493757616728544,0.07777724475280633
4000,0.0041672890074551105,0.07789171846065215
4100,0.0038576917722821236,0.07846971337007501
4200,0.003574224654585123,0.07856092972867725
4300,0.0033375390339642763,0.07736192887051363
4400,0.003107104916125536,0.07658010666554418
4500,0.002905758796259761,0.07603653932295101
4600,0.002712951973080635,0.07528000797827392
4700,0.0025643990375101566,0.07431484207983609
4800,0.0024256028700619936,0.07292462562774621
4900,0.0023066597059369087,0.07328861801310332
5000,0.002193693071603775,0.07370666697372567
5100,0.0020725950598716736,0.07400990765512938
5200,0.0019631669856607914,0.07441661076795611
5300,0.0018671980360522866,0.0748486307092489
5400,0.001781752216629684,0.07496935551041456
5500,0.0016909096157178283,0.07506603186564736
5600,0.0016187485307455063,0.07394681656691299
5700,0.0015424925368279219,0.07355037265965633
5800,0.0014773973962292075,0.0732778873162434
5900,0.0014172663213685155,0.07339842837805377
6000,0.0013659861870110035,0.07341233006363536
