iteration,loss,mean_rel_error
1,54.14800262451172,1.531910411288334
100,5.0086140632629395,1.013366368751508
200,4.744530200958252,1.0140274220135188
300,4.616559028625488,1.0136870410914645
400,4.543860912322998,1.0130823865680603
500,4.493494987487793,1.0125731616632703
600,1.1968345642089844,0.9125230396854386
700,0.8171176910400391,0.8499814677831738
800,0.6125857830047607,0.8178463244736365
900,0.4865858852863312,0.7799609299911872
1000,0.4119471311569214,0.7365196149358061
1100,0.3592856824398041,0.6976451972236082
1200,0.3097917437553406,0.6598199993495105
1300,0.2723977863788605,0.6272786053819984
1400,0.24807530641555786,0.5984131445321224
1500,0.23093406856060028,0.5795089001365983
1600,0.21495796740055084,0.5618970164471517
1700,0.19802378118038177,0.5447773610986746
1800,0.18386299908161163,0.530361153802172
1900,0.17078323662281036,0.5046089792068651
2000,0.1604427844285965,0.48439802912637425
2100,0.15159332752227783,0.4635298044409125
2200,0.14279776811599731,0.4487777600917256
2300,0.1345573514699936,0.42870835323411516
2400,0.12621363997459412,0.40402961656633957
2500,0.1179109588265419,0.37931956462610816
2600,0.10885624587535858,0.35779921612112814
2700,0.10057532787322998,0.3496435104197594
2800,0.09366980940103531,0.34240740806130904
2900,0.08788817375898361,0.3357204862746319
3000,0.08259579539299011,0.32692596081140957
3100,0.07838734239339828,0.31856059130302217
3200,0.07350285351276398,0.29920589164904676
3300,0.06853940337896347,0.28401263288686185
3400,0.06418535858392715,0.26895494489620375
3500,0.0606977716088295,0.25621644976554636
3600,0.057499032467603683,0.2514085201967135
3700,0.053936202079057693,0.23516215712652905
3800,0.051072265952825546,0.22851038436977458
3900,0.048670049756765366,0.2185362557839156
4000,0.04663170129060745,0.21133591051931894
4100,0.04421870410442352,0.20034448867868496
4200,0.04198359325528145,0.19411459975729178
4300,0.04010530933737755,0.18509172043356242
4400,0.0378565713763237,0.17251778943176746
4500,0.03597160056233406,0.16325474439564758
4600,0.034335825592279434,0.15775474557336833
4700,0.03288933262228966,0.15432939546508373
4800,0.031540147960186005,0.14970752266839474
4900,0.030207190662622452,0.14405216036809876
5000,0.028840195387601852,0.14390840039418767
5100,0.027598146349191666,0.1387240389085106
5200,0.026437781751155853,0.1340555619138721
5300,0.02535897120833397,0.13052625550579355
5400,0.0242678914219141,0.12693599658443083
5500,0.02328086458146572,0.12147135945380858
