iteration,loss,mean_rel_error
1,70.00447082519531,1.2545407514377744
100,4.302938938140869,1.007525042372344
200,4.263648986816406,1.0132641635518767
300,4.159976005554199,1.0255023763269764
400,3.8608248233795166,1.0456041564806875
500,3.1444571018218994,1.0448924080058304
600,2.450942277908325,1.0123624455894933
700,2.0471901893615723,0.9958688417219076
800,1.6594980955123901,0.9841012865819734
900,1.3145654201507568,0.9558250224214652
1000,1.1113096475601196,0.9291311435634413
1100,0.9862364530563354,0.9046840658326125
1200,0.9046397805213928,0.8856413215760948
1300,0.8455507755279541,0.8711533271537637
1400,0.8011612892150879,0.8600107553116093
1500,0.7638186812400818,0.8502539817800846
1600,0.954538106918335,0.8431544996508821
1700,0.6986352801322937,0.837093906041033
1800,0.6710482835769653,0.8327660736424838
1900,0.6457563638687134,0.8301670837725015
2000,0.6240676641464233,0.8282848040013715
2100,0.6015224456787109,0.8257668791849975
2200,0.5858611464500427,0.8226145519045243
2300,0.5601984858512878,0.8202839687124256
2400,0.5435370206832886,0.8173136946882331
2500,0.540838360786438,0.813451909575724
2600,0.5012568831443787,0.810047807644334
2700,0.4819240868091583,0.8064489996809105
2800,0.46358975768089294,0.8024822671659325
2900,0.4645400643348694,0.7983110886567615
3000,0.4304552674293518,0.7941768333455723
3100,0.4161052703857422,0.7892832518363415
3200,0.4017327129840851,0.7843919898188954
3300,0.3946041166782379,0.7783215886995023
3400,0.3767104744911194,0.7735756404077305
3500,0.38173648715019226,0.7681086960759915
3600,0.3702315092086792,0.7628486656943807
3700,0.34839802980422974,0.7568703518881019
3800,0.3388902544975281,0.7499931454788819
3900,0.3264862596988678,0.7449055710577364
4000,0.3793836534023285,0.7388072564922148
4100,0.30924689769744873,0.7339157240389813
4200,0.2998068332672119,0.7282728860760493
4300,0.30581924319267273,0.7222325761383385
4400,0.3158385753631592,0.7163950465939857
4500,0.2991781532764435,0.7125091091650171
4600,0.27259206771850586,0.7071341754505408
4700,0.2674700915813446,0.7024463985470999
4800,0.27040135860443115,0.6967248462412157
4900,0.25551357865333557,0.6926497968793077
5000,0.2694794535636902,0.687852543871976
5100,0.18578127026557922,0.597353563444751
5200,0.1500539630651474,0.5433389213212956
5300,0.12362250685691833,0.4864239261289542
5400,0.09937283396720886,0.4332316710939028
5500,0.08090357482433319,0.3883171282668685
5600,0.066195048391819,0.3392039876867886
5700,0.05519648641347885,0.29891919550373103
5800,0.046223368495702744,0.2687961001875525
5900,0.038991741836071014,0.22487275389829936
6000,0.03241175413131714,0.2012423951468808
6100,0.02663313038647175,0.18222440631611309
6200,0.02138955518603325,0.16290366387947341
6300,0.01778564602136612,0.14008717210995028
6400,0.015346492640674114,0.1277496937775585
6500,0.012871023267507553,0.11544339200688003
6600,0.011208013631403446,0.10411783163372665
6700,0.009511509910225868,0.0963521764434585
6800,0.00809831079095602,0.08931063324957361
6900,0.007087519858032465,0.08323442047643916
7000,0.00621876772493124,0.08180337599130569
7100,0.00551961176097393,0.07986726392574295
7200,0.004882932640612125,0.07498484850084394
7300,0.0043632639572024345,0.0773013671179692
7400,0.004036825615912676,0.07774459176264534
7500,0.003680834546685219,0.07583066676142722
7600,0.0033700624480843544,0.07590221144645033
7700,0.003066298086196184,0.0756666220076545
7800,0.002820937894284725,0.07478654621058728
7900,0.0026280488818883896,0.07361940009700307
8000,0.002445006277412176,0.07352868436325499
8100,0.0022953362204134464,0.07288464000568375
8200,0.002152234548702836,0.07355675336038844
8300,0.0020207238849252462,0.07493171803293902
8400,0.001893766107968986,0.07585647507168752
8500,0.0017786911921575665,0.07591496207283908
8600,0.0016707939794287086,0.07580933687412972
8700,0.001590114552527666,0.07477682362669333
8800,0.0015152156120166183,0.07329723893531861
8900,0.0014495514333248138,0.07386279486297638
9000,0.0013932292349636555,0.07348691556901538
9100,0.0013355716364458203,0.07380864042343635
9200,0.0012794312788173556,0.07386795313451422
9300,0.0012157597811892629,0.0734633929533788
9400,0.001163236447609961,0.07326321205507946
9500,0.001108437543734908,0.07336400015011019
9600,0.0010602748952805996,0.07369959046905929
9700,0.001018328359350562,0.07370021605390531
9800,0.0009822346037253737,0.07380840902590974
9900,0.0009462707675993443,0.07442418599794366
10000,0.0009090972598642111,0.07411006828777143
