layers,neurons_per_layer,evaluation_time_sec,relative_error,training_time_sec
1,25,0.38320302963256836,0.9099472827878319,268.5808
1,50,0.10402059555053711,0.7981202998092181,287.7863
1,75,0.12031126022338867,0.7259987598711038,291.1042
2,25,0.04373431205749512,0.4103739626271663,333.6271
2,50,0.04041337966918945,0.11660656418705193,346.1852
2,75,0.07987189292907715,0.07717629879486751,356.2399
3,25,0.04477238655090332,0.15189258568555977,401.7561
3,50,0.09247517585754395,0.07549167566828495,396.753
3,75,0.04988265037536621,0.07464774220034902,430.8179
