layers,neurons_per_layer,evaluation_time_sec,relative_error,training_time_sec
1,25,0.03435170650482178,0.9513156395039444,183.9826889038086
1,50,0.027834773063659668,0.7652656837130984,184.76253509521484
1,75,0.029155254364013672,0.7948457587928648,190.9008564949036
2,25,0.02959136962890625,0.4289001569844917,220.31931900978088
2,50,0.03835155963897705,0.0798486352930345,222.03230547904968
2,75,0.04646058082580566,0.0737603653561721,233.0646331310272
3,25,0.031499505043029785,0.0831129694366222,254.81871843338013
3,50,0.03153340816497803,0.0743573909137297,260.7916257381439
3,75,0.036190342903137204,0.0747536233872414,277.91336369514465
