layers,neurons_per_layer,evaluation_time_mean,evaluation_time_std,relative_error,training_time_sec
1,25,0.4846310615539551,,0.9114967313295682,184.65066266059875
1,50,0.07658123970031738,,1.195241853139534,190.41237425804135
1,75,0.1041407585144043,,0.9756525916767136,192.7622847557068
2,25,0.04870438575744629,,0.5635560080841511,235.3759791851044
2,50,0.08477163314819336,,0.1228568750480359,236.150128364563
2,75,0.14760613441467285,,0.2748747456632084,246.85635256767276
3,25,0.06241941452026367,,0.0726049579082419,273.3906528949737
3,50,0.11418819427490234,,0.0732777582099959,268.1009273529053
3,75,0.19346976280212402,,0.074719638319898,283.61294317245483
