n,assembly_solution_time_sec,assembly_solution_time_sec_std,evaluation_time_sec,evaluation_time_sec_std,relative_error,relative_error_std
5,0.014902281761169433,0.007931181447667189,0.7600298166275025,0.018203861122941277,0.7375318908979204,0.0
10,0.050871992111206056,0.015295605373033205,1.3722809076309204,0.0189408471475103,0.14893661260778632,2.925694557147251e-17
15,0.08893277645111083,0.005619919214328334,1.9717339515686034,0.03237732497271074,0.072494329291005,0.0
20,0.12883515357971193,0.008759231539517576,2.5864495277404784,0.02833146352367794,0.04542724798819735,7.314236392868128e-18
25,0.17227835655212403,0.004459622264378446,3.207045793533325,0.030591626853008834,0.03213927307559029,0.0
30,0.2311992883682251,0.006893035058310096,3.818537402153015,0.023428424599924728,0.024761772825333508,0.0
35,0.2907888889312744,0.006251467864128401,4.382386946678162,0.032060239204330675,0.020087281058143718,3.657118196434064e-18
40,0.36655116081237793,0.008814499601160965,5.007613015174866,0.03060898741040536,0.016886810140896012,3.657118196434064e-18
45,0.4512770414352417,0.014312022637343486,5.645630240440369,0.04734519796732183,0.014630246998650434,0.0
