hidden_layers,hidden_units,mean_relative_error,std_relative_error,best_relative_error,training_time_sec,std_training_time_sec,mean_eval_time_sec,std_eval_time_sec
1,25,1.2905757357638976,0.00319719534306282,1.2895100039828766,82.66817133426666,3.8696108117742956,0.0547760009765625,0.012665901994217894
1,50,0.9344729500632397,1.1102230246251565e-16,0.9344729500632396,160.7958736181259,5.996507817332966,0.05436418056488037,0.011954333078158774
1,75,0.8554402901769829,0.0,0.8554402901769829,218.29348306655885,8.19261477478115,0.06801550388336182,0.05170021860357715
2,25,0.18652849717538195,0.0,0.18652849717538195,251.91675708293914,2.042732151220894,0.04686093330383301,0.006627488867516564
2,50,0.07521603152048141,0.0,0.07521603152048141,253.98450207710266,2.1010876342003333,0.04708375930786133,0.005809109809388573
2,75,0.07352439510518113,0.0,0.07352439510518113,261.50090024471285,1.5984288403539073,0.05367233753204346,0.004873571365271053
3,25,0.07436087624213605,0.0,0.07436087624213605,289.87279930114744,1.9818564529141973,0.04699206352233887,0.0029395269580578687
3,50,0.07452482758243259,1.3877787807814457e-17,0.07452482758243258,293.16639091968534,1.8150619210589598,0.0573275089263916,0.010662212865734558
3,75,0.0745171888369803,1.3877787807814457e-17,0.07451718883698029,305.63032031059265,2.106559102826752,0.056494140625,0.007189056796987569
