n,time_sec,relative_error
5,9.399703741073608,0.7375318908979204
10,9.88788628578186,0.14893661260778635
15,10.67507266998291,0.072494329291005
20,11.427073240280151,0.04542724798819734
25,13.879770517349243,0.03213927307559029
30,14.808533906936646,0.024761772825333508
35,15.57960557937622,0.020087281058143714
40,16.616479635238647,0.01688681014089601
45,18.402371168136597,0.014630246998650434
50,18.410521268844604,0.012901094644648232
