layers,neurons_per_layer,evaluation_time_sec,relative_error,training_time_sec
1,25,0.46271491050720215,1.014891802443881,1.709639549255371
1,50,0.11117744445800781,1.0034478874517545,1.9419844150543213
1,75,0.06416702270507812,1.004340332099527,1.9690046310424805
2,25,0.10346579551696777,1.0444199775873788,2.6033170223236084
2,50,0.06772851943969727,1.0293202740106668,2.4680275917053223
2,75,0.04497694969177246,1.0866040114074214,2.561359405517578
3,25,0.12755846977233887,1.0915016610630062,3.316540479660034
3,50,0.06546425819396973,1.009956566851684,3.0365748405456543
3,75,0.07640385627746582,0.9846565482729688,3.2181239128112797
