n,assembly_solution_time_sec,assembly_solution_time_sec_std,evaluation_time_sec,evaluation_time_sec_std,relative_error,relative_error_std
5,0.013849973678588867,0.0055147846338232855,0.7619812726974488,0.01721218057224382,0.7375318908979204,0.0
10,0.04461812973022461,0.009932035457057306,1.3716617584228517,0.022519885524318942,0.14893661260778632,2.925694557147251e-17
15,0.09042162895202636,0.007152904511610867,1.983362865447998,0.011221070838520171,0.072494329291005,0.0
20,0.1260984420776367,0.006356521010804518,2.6432196617126467,0.020570430166000093,0.04542724798819735,7.314236392868128e-18
25,0.17655653953552247,0.007179495814544366,3.224553370475769,0.02780427849139364,0.03213927307559029,0.0
30,0.23006837368011473,0.012417533044045964,3.9594173669815063,0.061749338922281134,0.024761772825333508,0.0
35,0.3009603977203369,0.010034262942130648,4.519495820999145,0.03863298843570746,0.020087281058143718,3.657118196434064e-18
40,0.3685497045516968,0.008625669246382686,5.045337748527527,0.05363231002530435,0.016886810140896012,3.657118196434064e-18
45,0.4554041862487793,0.010845678835326344,5.613970351219177,0.06613864598500788,0.014630246998650434,0.0
