n,time_sec_mean,time_sec_std,relative_error_mean,relative_error_std
5,8.805022716522217,,0.7375318908979204,
10,9.395982503890991,,0.14893661260778635,
15,10.073114156723022,,0.072494329291005,
20,11.035077095031738,,0.04542724798819734,
25,11.472626686096191,,0.03213927307559029,
30,12.343175172805786,,0.024761772825333508,
35,13.172744750976562,,0.020087281058143714,
40,13.77532410621643,,0.01688681014089601,
45,14.424890756607056,,0.014630246998650434,
