n,time_sec,time_sec_std,relative_error,relative_error_std
5,8.702337074279786,0.40869945551856834,0.7375318908979204,0.0
10,9.697412991523743,0.3552332207560702,0.14893661260778632,2.925694557147251e-17
15,10.50286545753479,0.329074351186107,0.07249432929100498,0.0
20,11.696982073783875,0.6605178271641587,0.04542724798819735,7.314236392868128e-18
25,12.083268857002258,0.6725673059793411,0.03213927307559029,0.0
30,12.460582256317139,0.46062945542960293,0.024761772825333508,0.0
35,13.927272725105286,0.8826411455259291,0.020087281058143718,3.657118196434064e-18
40,13.741250801086426,0.4071879147681469,0.016886810140896012,3.657118196434064e-18
45,14.303427577018738,0.1757943154229812,0.014630246998650434,0.0
