layers,neurons_per_layer,evaluation_time_sec,relative_error,training_time_sec
1,25,0.513146162033081,0.9513156395039444,190.2031352519989
1,50,0.1003115177154541,0.7652656837130984,181.8057143688202
1,75,0.13626837730407715,0.7948457587928648,187.7342998981476
2,25,0.07672810554504395,0.4289001569844917,211.17017364501956
2,50,0.12562823295593262,0.0798486352930345,216.42179369926453
2,75,0.15417242050170898,0.0737603653561721,229.365757226944
3,25,0.1015017032623291,0.0831129694366222,276.8923413753509
3,50,0.1418294906616211,0.0743573909137297,290.36064767837524
3,75,0.1944897174835205,0.0747536233872414,287.486181974411
